lon,lat,treatment_intensity,year,area_m2
34.1725,0.0175,13-,2019,3360.0
34.1725,0.0175,13-,2023,3712.0
34.1775,0.0175,7-9,2016,1152.0
34.1775,0.0175,7-9,2019,1712.0
34.1775,0.0175,7-9,2023,2064.0
34.2125,0.0175,0-3,2016,4416.0
34.2125,0.0175,0-3,2019,5040.0
34.2125,0.0175,0-3,2023,6096.0
34.2175,0.0175,0-3,2016,672.0
34.2175,0.0175,0-3,2019,864.0
34.2175,0.0175,0-3,2023,720.0
34.2475,0.0175,0-3,2016,208.0
34.2475,0.0175,0-3,2019,432.0
34.2475,0.0175,0-3,2023,640.0
34.2525,0.0175,0-3,2016,192.0
34.2525,0.0175,0-3,2019,400.0
34.2525,0.0175,0-3,2023,480.0
34.2575,0.0175,0-3,2016,400.0
34.2575,0.0175,0-3,2019,432.0
34.2575,0.0175,0-3,2023,560.0
34.2625,0.0175,0-3,2016,576.0
34.2625,0.0175,0-3,2019,832.0
34.2625,0.0175,0-3,2023,1360.0
34.2675,0.0175,0-3,2016,528.0
34.2675,0.0175,0-3,2019,752.0
34.2675,0.0175,0-3,2023,1040.0
34.2725,0.0175,0-3,2016,3936.0
34.2725,0.0175,0-3,2019,4480.0
34.2725,0.0175,0-3,2023,5520.0
34.2925,0.0175,0-3,2016,6000.0
34.2925,0.0175,0-3,2019,6432.0
34.2925,0.0175,0-3,2023,8144.0
34.2975,0.0175,10-12,2016,1696.0
34.2975,0.0175,10-12,2019,2240.0
34.2975,0.0175,10-12,2023,2448.0
34.3175,0.0175,4-6,2016,1664.0
34.3175,0.0175,4-6,2019,2160.0
34.3175,0.0175,4-6,2023,2960.0
34.3225,0.0175,7-9,2016,6640.0
34.3225,0.0175,7-9,2019,7760.0
34.3225,0.0175,7-9,2023,8336.0
34.3325,0.0175,4-6,2016,1680.0
34.3325,0.0175,4-6,2019,2320.0
34.3325,0.0175,4-6,2023,2688.0
34.3375,0.0175,10-12,2016,752.0
34.3375,0.0175,10-12,2019,848.0
34.3375,0.0175,10-12,2023,768.0
34.3425,0.0175,13-,2016,2608.0
34.3425,0.0175,13-,2019,3440.0
34.3425,0.0175,13-,2023,4480.0
34.3475,0.0175,13-,2016,2320.0
34.3475,0.0175,13-,2019,2864.0
34.3475,0.0175,13-,2023,4224.0
34.3525,0.0175,7-9,2016,3184.0
34.3525,0.0175,7-9,2019,3952.0
34.3525,0.0175,7-9,2023,4496.0
34.1725,0.0225,13-,2016,11520.0
34.1725,0.0225,13-,2019,10864.0
34.1725,0.0225,13-,2023,12224.0
34.1775,0.0225,4-6,2016,3680.0
34.1775,0.0225,4-6,2019,4304.0
34.1775,0.0225,4-6,2023,4768.0
34.1975,0.0225,4-6,2016,2576.0
34.1975,0.0225,4-6,2019,2768.0
34.1975,0.0225,4-6,2023,3152.0
34.2025,0.0225,7-9,2016,1408.0
34.2025,0.0225,7-9,2019,1472.0
34.2025,0.0225,7-9,2023,1504.0
34.2075,0.0225,4-6,2016,608.0
34.2075,0.0225,4-6,2019,816.0
34.2075,0.0225,4-6,2023,1088.0
34.2125,0.0225,0-3,2016,1040.0
34.2125,0.0225,0-3,2019,2288.0
34.2125,0.0225,0-3,2023,3216.0
34.2175,0.0225,0-3,2016,640.0
34.2175,0.0225,0-3,2019,1136.0
34.2175,0.0225,0-3,2023,1504.0
34.2225,0.0225,0-3,2016,624.0
34.2225,0.0225,0-3,2019,1024.0
34.2225,0.0225,0-3,2023,1760.0
34.2275,0.0225,0-3,2016,1232.0
34.2275,0.0225,0-3,2019,1888.0
34.2275,0.0225,0-3,2023,2368.0
34.2525,0.0225,0-3,2016,832.0
34.2525,0.0225,0-3,2019,1312.0
34.2525,0.0225,0-3,2023,1504.0
34.2575,0.0225,0-3,2016,560.0
34.2575,0.0225,0-3,2019,1184.0
34.2575,0.0225,0-3,2023,1616.0
34.2625,0.0225,0-3,2016,640.0
34.2625,0.0225,0-3,2019,1104.0
34.2625,0.0225,0-3,2023,1504.0
34.2675,0.0225,0-3,2016,1344.0
34.2675,0.0225,0-3,2019,2752.0
34.2675,0.0225,0-3,2023,3776.0
34.2725,0.0225,0-3,2016,2352.0
34.2725,0.0225,0-3,2019,3536.0
34.2725,0.0225,0-3,2023,4288.0
34.2775,0.0225,0-3,2016,2384.0
34.2775,0.0225,0-3,2019,3392.0
34.2775,0.0225,0-3,2023,4272.0
34.2925,0.0225,0-3,2016,1632.0
34.2925,0.0225,0-3,2019,1856.0
34.2925,0.0225,0-3,2023,2528.0
34.2975,0.0225,13-,2016,2992.0
34.2975,0.0225,13-,2019,3728.0
34.2975,0.0225,13-,2023,4624.0
34.3025,0.0225,0-3,2016,544.0
34.3025,0.0225,0-3,2019,624.0
34.3025,0.0225,0-3,2023,800.0
34.3225,0.0225,0-3,2016,3024.0
34.3225,0.0225,0-3,2019,3984.0
34.3225,0.0225,0-3,2023,4752.0
34.3275,0.0225,0-3,2016,1200.0
34.3275,0.0225,0-3,2019,1920.0
34.3275,0.0225,0-3,2023,2192.0
34.3425,0.0225,7-9,2016,1200.0
34.3425,0.0225,7-9,2019,1440.0
34.3425,0.0225,7-9,2023,2368.0
34.3475,0.0225,0-3,2016,5600.0
34.3475,0.0225,0-3,2019,7360.0
34.3475,0.0225,0-3,2023,8448.0
34.3525,0.0225,0-3,2016,4064.0
34.3525,0.0225,0-3,2019,4928.0
34.3525,0.0225,0-3,2023,5376.0
34.3575,0.0225,4-6,2016,2848.0
34.3575,0.0225,4-6,2019,3744.0
34.3575,0.0225,4-6,2023,4496.0
34.3675,0.0225,0-3,2016,2144.0
34.3675,0.0225,0-3,2019,2992.0
34.3675,0.0225,0-3,2023,3968.0
34.3725,0.0225,0-3,2016,1856.0
34.3725,0.0225,0-3,2019,2112.0
34.3725,0.0225,0-3,2023,2432.0
34.1725,0.0275,10-12,2016,3344.0
34.1725,0.0275,10-12,2019,3728.0
34.1725,0.0275,10-12,2023,4224.0
34.1775,0.0275,13-,2016,2048.0
34.1775,0.0275,13-,2019,1872.0
34.1775,0.0275,13-,2023,2272.0
